'Oumuamua	奥陌陌
Mab	天卫二十六
Mabsuthat	上台增四
MacLaurin crater	麦克劳林环形山
MacLaurin disk	麦克劳林盘
MacLaurin spheroid	麦克劳林球体
MacLaurin stage of light curve	麦克劳林光变曲线分段
Macao	澳门
Mach crater	马赫环形山
Mach number	马赫数
Mach principle	马赫原理
Mach's principle	马赫原理
Machina Electrica	电机座
Macrobius crater	马克罗比乌斯环形山
Madau plot	马道图
Madrid Astronomical Observatory	马德里天文台
Maffei galaxy	马费伊星系
Maffei group	马费伊星系群
Magdalena Ridge Optical Interferometer	缩写：MROI。马格达莱纳岭光学干涉仪
Magelhaens crater	麦哲伦环形山
Magellan Telescopes	麦哲伦望远镜
Magellan spacecraft	麦哲伦号金星探测器
Magellanic Cloud-type galaxy	麦哲伦云型星系
Magellanic Clouds	麦哲伦云
Magellanic Stream	麦哲伦流
Magellanic System	麦哲伦系
Magellanic irregular galaxies	麦哲伦型不规则星系
Magnanimity	宽容
Magnetic Field Satellite	缩写：Magsat。磁场科学卫星
Magsat	全称：Magnetic Field Satellite。磁场科学卫星
Mahasim	五车四
Maia	昴宿四
Maia sequence	昴宿四变星序
Maid	女宿
Main Ring	主环
Maja	光神星
Major Atmospheric Gamma-ray Imaging Cherenkov Telescopes	缩写：MAGIC。大型大气伽马射线成像切伦科夫望远镜
Majorana mass term	马约拉纳质量项
Majorana neutrino	马约拉纳中微子
Majorana particle	马约拉纳粒子
Majorana representation	马约拉纳表象
Makemake	鸟神星
Maksutov camera	马克苏托夫照相机
Maksutov corrector	马克苏托夫改正镜
Maksutov crater	马克苏托夫环形山
Maksutov telescope	马克苏托夫望远镜
Mallet crater	马利特环形山
Malmquist bias	马姆奎斯特偏差
Malmquist correction	马姆奎斯特改正
Malus	船桅座
Mandel'shtam crater	曼德尔施塔姆环形山
Mandjet Chasma	曼杰特深谷
Mangalyaan	火星轨道飞行器任务
Manicouagan crater	马尼夸根陨星坑
Manley-Rowe equation	曼利-罗氏方程
Manned Orbiting Laboratory	缩写：MOL。载人环地轨道实验室
Manson crater	曼森陨星坑
Manuel Diaz	阳玛诺
Maoyisheng	茅以升
Mapihsia	马碧霞
Marchab	室宿一
Marco Polo crater	马可·波罗环形山
Marconi crater	马可尼环形山
Mare Anguis	蛇海
Mare Australe	南海
Mare Cognitum	知海
Mare Crisium	危海
Mare Desiderii	梦海
Mare Fecunditatis	丰富海
Mare Frigoris	冷海
Mare Humboldtianum	洪堡海
Mare Humorum	湿海
Mare Imbrium	雨海
Mare Ingenii	智海
Mare Insularum	岛海
Mare Marginis	界海
Mare Moscoviense	莫斯科海
Mare Nectaris	酒海
Mare Nubium	云海
Mare Orientale	东海
Mare Serenitatis	澄海
Mare Smythii	史密斯海
Mare Spumans	泡沫海
Mare Tranquillitatis	静海
Mare Undarum	浪海
Mare Vaporum	汽海
Marfak	1、天船三; 2、晋; 天市右垣三
Marfic	列肆二
Marfik	列肆二
Margaret	天卫二十三
Maria family	玛利亚星族
Marilyn	玛莉琳
Mariner	水手号
Marinus crater	马里纳斯环形山
Mariotte crater	马略特环形山
Marisat	海事通信卫星
Markab	1、天社五; 2、室宿一
Markarian galaxy	马卡良星系
Markarian object	马卡良天体
Markeb	天社五
Markov chain	马尔可夫链
Markov chain Monte Carlo method	缩写：MCMC method。马尔可夫链蒙特卡洛方法
Markov process	马尔可夫过程
Markowitz moon camera	马科维茨月球照相机
Mars	火星; 荧惑
Mars Atmosphere and Volatile Evolution	缩写：MAVEN。专家号
Mars Climate Orbiter	缩写：MCO。环火星气候探测器
Mars Exploration Rover	火星探险漫游者
Mars Express	火星快车
Mars Global Surveyor	缩写：MGS。火星环球勘测者
Mars Observer	火星观测者
Mars Orbiter Mission	火星轨道飞行器任务
Mars Pathfinder	火星探路者
Mars Polar Lander	缩写：MPL。火星极地着陆器
Mars Reconnaissance Orbiter	缩写：MRO。火星勘测轨道飞行器
Mars Science Laboratory	缩写：MSL。火星科学实验室
Mars globe	火星仪
Mars probe	火星探测器
Mars-Trojan asteroid	火星-特洛伊族小行星
Mars-crossing asteroid	越火小行星
Marseilles National Observatory	马赛国立天文台
Marshall Space Flight Center	缩写：MSFC。马歇尔空间中心
Marsic	列肆二
Marsik	晋; 天市右垣三
Martian atmosphere	火星大气
Martian dust storm	火星尘暴
Martian moon	火卫
Martian opposition	火星大冲
Martian probe	火星探测器
Martian satellite	火卫
Martian year	火星年
Maryland Point Observatory	马里兰射电观测站
Massachusetts Institute of Technology	缩写：MIT。麻省理工学院
Massalia	王后星
Matar	离宫四
Mathieu equation	马蒂厄方程
Mathilde	玛蒂尔德
Matteo Ricci	利玛窦
Matterania	马特尔
Mattig formula	马蒂希公式
Mauna Kea Observatory	缩写：MKO。莫纳克亚天文台
Maunder crater	蒙德环形山
Maunder minimum	蒙德极小期
Max-Planck-Institut fur Astronomie	缩写：MPIfA。马普天文研究所
Max-Planck-Institut fur Physik und Astrophysik	缩写：MPIfPA。马普物理和天体物理研究所
Max-Planck-Institut fur Radioastronomie	缩写：MPIfR。马普射电天文研究所
Max-Planck-Institute for Astrophysics	缩写：MPA。马普天体物理研究所
Maxwell Gap	麦克斯韦环缝
Maxwell Montes	麦克斯韦山脉
Maxwell Observatory	麦克斯韦天文台
Maxwell Telescope	麦克斯韦望远镜
Maxwell crater	麦克斯韦环形山
Maxwell distribution	麦克斯韦分布
Maxwell equation	麦克斯韦方程
Maxwell field equation	麦克斯韦场方程
Maxwell force	麦克斯韦力
Maxwell-Boltzmann distribution	麦克斯韦-玻尔兹曼分布
Maxwellian plasma	麦克斯韦等离子体
Maxwellian plasma gas	麦克斯韦等离子气体
Maxwellian velocity distribution	麦克斯韦速度分布
Mayall Reflector	梅奥尔反射望远镜
Mayall Telescope	梅奥尔望远镜
Mayan astronomy	玛雅天文学
Mayer formula	梅耶公式
Mazim	赵; 天市左垣二
Mazym	赵; 天市左垣二
McDonald Observatory	麦克唐纳天文台
McDonald crater	麦克唐纳环形山
McGee spectracon	麦基光谱摄像管
McGraw-Hill Observatory	麦格劳-希尔天文台
McIntosh classification	麦金托什分类
McIntosh scheme	麦金托什图式
McKellar crater	麦凯勒环形山
McLaughlin crater	麦克劳林环形山
McMath Hulbert Observatory	麦克马思·赫伯特天文台
McMath Telescope	麦克马思望远镜
McMath crater	麦克马思环形山
McMath-Pierce Solar Telescope	麦克马思-皮尔斯太阳望远镜
McMath-Pierce Telescope	麦克马思-皮尔斯望远镜
McMullan camera	麦克马伦电子照相机
McNaught Comet	麦克诺特彗星
Md	全称：mendelevium。钔
Me star	M型发射线星; Me型星
Me variable	Me型变星
MeV	全称：mega-electron-volt。兆电子伏
Mead crater	米德环形山
Mebsuta	井宿五
Media	箕宿二
Medium Scale Anisotropy Measurement Experiment	缩写：MSAM experiment。中等尺度各向异性测量实验
Medusa Nebula	美杜莎星云
Mee crater	米环形山
Mees crater	米斯环形山
Megaclite	木卫十九
Megalithic astronomy	巨石天文学
Megaregolith	巨石表土
Meggers crater	梅格斯环形山
Megrez	天权; 北斗四
Meinel band	迈内尔谱带
Meinel optics	迈内尔光学系统
Meissa	觜宿一
Meitner crater	迈特纳环形山
Meizhou	梅州
Mekbuda	井宿七
Melas Chasma	米拉斯深谷
Melboula	井宿五
Melchior-Dejaiffe Catalogue	缩写：MD。MD测纬星表
Meleph	积尸增三
Melete	中神星
Melpomene	司曲星
Melucta	井宿五
Memoirs of the Royal Astronomical Society	缩写：MmRAS。皇家天文学会论文集
Men	1、全称：Mensa。山案座; 2、骑官十
Menchib	卷舌三
Mendel crater	孟德尔环形山
Mendeleev crater	门捷列夫环形山
Menghuan	孟奂
Menkab	天囷一
Menkalina	五车三
Menkar	1、天囷一; 2、天囷三
Menkent	库楼三
Menkhib	卷舌三
Menkib	1、卷舌三; 2、室宿二
Mensa	缩写：Men。山案座
Merak	天璇; 北斗二
Mercator crater	墨卡托环形山
Mercurial magnetosphere	水星磁层
Mercurial precession	水星进动
Mercurius crater	墨丘利环形山
Mercury	水星; 辰星
Mercury Spacecraft	水星号飞船
Mercury Surface Space Environment Geochemistry and Ranging	缩写：MESSENGER。信使号
Merga	玄戈增二
Meridiani Planum	子午高原
Merope	昴宿五
Merope Nebula	昴宿星云
Merrill crater	梅里尔环形山
Mersenius crater	梅森环形山
Mesarthim	娄宿二
Mesartim	娄宿二
Meshcherskiy crater	梅谢尔斯基环形山
Mesopotamian astronomy	美索不达米亚天文学
Messier Catalogue	缩写：M。梅西叶星云星团表
Messier crater	梅西叶环形山
Messier number	梅西叶编号
Messier object	梅西叶天体
Mestel's disk	梅斯特尔盘
Metagalaxy	总星系
Meteorological Satellite	缩写：Meteosat。气象科学卫星
Meteosat	全称：Meteorological Satellite。气象科学卫星
Methone	土卫三十二
Metis	1、木卫十六; 2、颖神星
Metius crater	梅修斯环形山
Metonic cycle	默冬章
Meudon Observatory	墨东天文台
Mexican hat potential	墨西哥帽势
Mezentsev crater	梅津采夫环形山
Mg	全称：magnesium。镁
Miaplacidus	南船五
Mic	全称：Microscopium。显微镜座
Mice Galaxies	双鼠星系
Michel Benoît	蒋友仁
Michelson crater	迈克耳孙环形山
Michelson interferometer	迈克耳孙干涉仪
Michelson interferometry	迈克耳孙干涉测量
Michelson stellar interferometer	迈克耳孙恒星干涉仪
Michelson-Morley experiment	迈克耳孙-莫雷实验
Michie model	米基模型
Michigan State University Observatory	密歇根州立大学天文台
Michigan University Radio Astronomy Observatory	密歇根大学射电天文台
Microlensing Planet Finder	微引力透镜行星探测器
Microscopium	缩写：Mic。显微镜座
Microvariability and Oscillations of Stars telescope	缩写：MOST。恒星微变和振荡望远镜
Midcourse Space Experiment	缩写：MSX。太空中途红外实验
Mie scattering	米氏散射
Mie theory	米氏理论
Mikheyev-Smirnov-Wolfenstein effect	缩写：MSW effect。MSW效应
Mikulski Archive for Space Telescopes	缩写：MAST。米库斯基空间望远镜数据库
Milagro telescope	奇迹伽马射线望远镜
Milankovich theory	米兰科维奇理论
Milankovič crater	米兰科维奇环形山
Milk Dipper	南斗
Milkomeda	银河仙女星系
Milky Way	缩写：MW。银河; 天河
Milky Way galaxy	银河系
Millennium Galaxy Catalogue	缩写：MGC。千僖星系表
Millennium simulation	千禧模拟
Miller crater	米勒环形山
Milli-Meter Array	缩写：MMA。毫米波射电望远镜阵
Millikan crater	密立根环形山
Millimeter Anisotropy eXperiment IMaging Array	缩写：MAXIMA。毫米波各向异性实验成像阵
Millimeter-Wave Telescope	缩写：MWT。MWT毫米波望远镜
Mills Cross	米尔斯十字
Mills-Slee-Hill Catalogue of Radio Sources	缩写：MSH。MSH射电源表
Mills-Strurrock model	米尔斯-斯特鲁洛克模型
Milne crater	米尔恩环形山
Milne model	米尔恩模型
Milne relation	米尔恩关系
Milne universe	米尔恩宇宙
Milne-Eddington approximation	米尔恩-爱丁顿近似
Milne-Eddington model	米尔恩-爱丁顿模型
Mimas	土卫一
Mimosa	十字架三
Minchir	轩辕七
Minelauva	右执法; 太微右垣一
Minerva	慧神星
Mineur crater	米纳尔环形山
Mingantu	明安图
Mini Magellanic Cloud	缩写：MMC。微麦哲伦云
Minisat 01	超小卫星1号
Minkar	轸宿二
Minkowski crater	闵科夫斯基环形山
Minkowski functional	闵可夫斯基泛函
Minkowski metric	闵可夫斯基度规
Minkowski space	闵可夫斯基空间
Minkowski spacetime	闵可夫斯基时空
Minkowski world	闵可夫斯基宇宙
Minnaert crater	米奈尔环形山
Minor Planet Center	缩写：MPC。小行星中心
Mintaka	参宿三
Mintika	参宿三
Mir	和平号空间站
Mira	刍藁增二
Mira Ceti variable	刍藁[型]变星
Mira star	刍藁型星
Mira variable	刍藁[型]变星
Mira-type star	刍藁型星
Mira-type variable	刍藁[型]变星
Mirac	奎宿九
Mirach	1、奎宿九; 2、梗河一
Mirak	梗河一
Miralaidjii Corona	米拉莱狄地冕
Miram	天船一
Miranda	天卫五
Mirfak	天船三
Miriam	圣女星
Mirphak	天船三
Mirrak	梗河一
Mirzam	军市一
Misam	大陵四
Mistastin crater	米斯塔斯汀湖陨星坑
Mitra crater	米特拉环形山
Mitteilungen der Astronomischen Gesellschaft	缩写：MAG。天文学会会刊
Mitteilungen über Veränderliche Sterne	缩写：MVS。变星通报
Mittenzwey eyepiece	米腾兹威目镜
Mizar	北斗六; 开阳
Mjølnir crater	米约涅尔陨星坑
MmRAS	全称：Memoirs of the Royal Astronomical Society。皇家天文学会论文集
Mn	全称：manganese。锰
Mneme	木卫四十
Mnemosyne	龙女星
Mo	全称：molybdenum。钼
Modified Newtonian Dynamics	缩写：MOND。修改的牛顿动力学; MOND理论
Moessbauer effect	穆斯堡尔效应
Mogel-Dellinger effect	默格尔-德林格尔效应
Mohammedan calendar	伊斯兰历
Mohammedan era	穆罕默德纪元
Moho surface	莫霍面
Mohorovičić crater	莫霍洛维奇环形山
Mohorovičić discontinuity	缩写：M-discontinuity。莫霍间断面
Mohorovičić surface	莫霍面
Moiseev crater	莫伊谢耶夫环形山
Moller scattering	摩勒散射
Molonglo Observatory Synthesis Telescope	缩写：MOST。莫隆格勒综合孔径望远镜
Molonglo Radio Observatory	莫隆格勒射电天文台
Molonglo pulsar	缩写：MP。莫隆格勒脉冲星
Moloniya	闪电
Momotaro crater	桃太郎坑
Mon	全称：Monoceros。麒麟座
Mongmanwai	蒙民伟
Monitor of All-sky X-ray Image	缩写：MAXI。全天X射线图像监视器
Monitoring of Earth-Rotation and Intercomparison of the Techniques of Observation and Analysis	缩写：MERIT。MERIT地球自转监测
Monitoring of the Sun-Earth Environment	缩写：MONSEE。MONSEE日地环境监测
Monkar	天囷一
Monocerids	麒麟流星群
Monoceros	缩写：Mon。麒麟座
Monoceros Hot Spot	麒麟热斑
Monoceros Loop	麒麟圈
Monogem Ring	麒麟圈
Mons Ampère	安培山
Mons Argaeus	阿尔加山
Mons Huygens	惠更斯山
Mons La Hire	拉希尔山
Mons Pico	皮科山
Mons Piton	皮通山
Mons Rümker	吕姆克山
Mont Blanc	勃朗峰
Montagnais crater	蒙塔格尼陨星坑
Montanari crater	蒙塔纳里环形山
Monte-Carlo method	蒙特卡罗方法
Monte-Carlo technique	蒙特卡罗方法
Montes Agricola	阿格里科拉山脉
Montes Alpes	阿尔卑斯山脉
Montes Apenninus	亚平宁山脉
Montes Archimedes	阿基米德山脉
Montes Carpatus	喀尔巴阡山脉
Montes Caucasus	高加索山脉
Montes Cordillera	科迪勒拉山脉
Montes Haemus	海玛斯山脉
Montes Harbinger	前锋山脉
Montes Jura	侏罗山脉
Montes Pyrenaeus	比利牛斯山脉
Montes Recti	直列山脉
Montes Riphaeus	里菲山脉
Montes Rook	鲁克山脉
Montes Secchi	塞奇山脉
Montes Spitzbergen	施皮茨贝尔根山脉
Montes Taurus	金牛山脉
Montes Teneriffe	特内里费山脉
Montgolfier crater	蒙戈尔费埃环形山
Monthly Notices of the Royal Astronomical Society	缩写：MNRAS; MN。皇家天文学会月刊
Moon	月球; 太阴
Moon Mineralogy Mapper	月球矿藏勘測器
Moore crater	穆尔环形山
Moore density profile	穆尔密度轮廓
Mopra Observatory	莫普拉天文台
Moreton wave	莫尔顿波
Moretus crater	莫雷环形山
Morgan's classification	摩根星系分类
Morgan-Keenan classification	MK光谱分类
Morgan-Keenan luminosity class	缩写：MK luminosity class。MK光度级
Morgan-Keenan system	缩写：MK system。MK分类系统
Morgan-Keenan-Kellman classification	缩写：MKK classification。MKK光谱分类
Morgan-Keenan-Kellman system	缩写：MKK system。MKK分类系统
Morokweng crater	莫罗昆陨星坑
Morphological Catalogue of Galaxies	缩写：MCG。星系形态表
Morse crater	莫尔斯环形山
Moseley crater	莫塞莱环形山
Mothallah	娄宿增六
Motion of the Earth by Doppler Observation Campaign	缩写：MEDOC。多普勒观测地球运动计划
Mott scattering	莫特散射
Mouchez crater	穆谢环形山
Mount Graham International Observatory	缩写：MGIO。格雷厄姆山国际天文台
Mount Hopkins Observatory	霍普金斯山天文台
Mount John University Observatory	缩写：MJUO。约翰山大学天文台
Mount Lemmon Observatory	缩写：MLO。莱蒙山天文台
Mount Palomar Observatory	帕洛玛山天文台
Mount Stromlo Observatory	缩写：MSO。斯特朗洛山天文台
Mount Stromlo and Siding Spring Observatory	缩写：MSSSO。斯特朗洛山和赛丁泉天文台
Mount Wilson Catalogue of Early Type Emission Stars	缩写：MWC。MWC早型发射线星表
Mount Wilson Observatory	威尔逊山天文台
Mouth	觜宿
Mpc	全称：megaparsec。兆秒差距
Mt. Hopkins Observatory	霍普金斯山天文台
Mt. John University Observatory	缩写：MJUO。约翰山大学天文台
Mt. Lemmon Observatory	缩写：MLO。莱蒙山天文台
Mt. Palomar Observatory	帕洛玛山天文台
Mt. Stromlo Observatory	缩写：MSO。斯特朗洛山天文台
Mt. Wilson Observatory	威尔逊山天文台
Mufrid	右摄提一
Mufride	右摄提一
Muhlifain	库楼七
Mukhanov-Sasaki equation	穆哈诺夫-佐佐木方程
Muliphain	天狼增四
Muliphein	天狼增四
Muliphen	1、天狼增四; 2、宗正二
Mullard Radio Astronomy Observatory	缩写：MRAO。玛拉德射电天文台
Mulliken band	马勒肯谱带
Multi Unit Spectroscopic Explorer	缩写：MUSE。多元光谱探测仪
Multi-Element Radio Linked Interferometer Network	缩写：MERLIN。默林[多元射电联合干涉网]
Multi-Telescope Radio-Linked Interferometer	缩写：MTRLI。多望远镜射电联合干涉仪
Multiple-Mirror Telescope	缩写：MMT。MMT望远镜
Mundilfari	土卫二十五
Mundrabilla meteorite	曼德拉比拉陨星
Munich University Observatory	慕尼黑大学天文台
Muphrid	右摄提一
Murchison Widefield Array	缩写：MWA。默奇森大视场[射电]阵
Murchison crater	默奇森环形山
Murchison meteorite	默奇森陨石
Murgab crater	默加布陨星坑
Murray crater	默里陨星坑
Murzim	军市一
Mus	全称：Musca。苍蝇座
Musca	缩写：Mus。苍蝇座
Musca Borealis	北蝇座
Muscida	1、内阶一; 2、内阶增七
Muses-A	缪斯A月球探测器
Musica	司非增二
Mutus crater	穆图什环形山
Myr	全称：million years。百万年
Möbius crater	麦比乌斯环形山
N	全称：nitrogen。氮
N galaxy	N星系
N line	N谱线
N star	N型星
N-body problem	n体问题
N-body simulation	n体模拟
N-magnitude	N星等
N-particle distribution function	N粒子分布函数
N-type star	N型星
N.S.	全称：New Style。新历
NAIC	全称：National Astronomy and Ionosphere Center。美国国家天文和电离层中心
NAO	全称：national astronomical observatory。国家天文台
NAOC	全称：National Astronomical Observatories, Chinese Academy of Sciences。中国科学院国家天文台
NAOJ	全称：National Astronomical Observatory of Japan。日本国立天文台
NASA	全称：National Aeronautics and Space Administration。美国[国家]航天局
NASA Infrared Telescope Facility	缩写：IRTF。[美国]航天局红外望远镜
NASA/IPAC Extragalactic Database	缩写：NED。美国航天局河外数据库
NBS	全称：National Bureau of Standards。美国国家标准局
NDRO	全称：non-destroy readout。无损示值读数
NEA	全称：near-earth asteroid; earth-approaching asteroid。近地小行星
NEAR	全称：Near Earth Asteroid Rendezvous。近地小行星探测器
NEAR Shoemaker probe	NEAR-舒梅克号探测器
NEAT	全称：Near-Earth Asteroid Tracking。近地小行星跟踪
NEB	1、全称：noise equivalent bandwidth。噪声等效带宽; 2、全称：north equatorial belt。[木星]北赤道带
NEC	全称：noise equivalent charge。噪声等效电荷
NED	全称：NASA/IPAC Extragalactic Database。美国航天局河外数据库
NEMO	1、全称：Neutrino Ettore Majorana Observatory。马约拉纳中微子天文台; 2、全称：Neutrino Mediterranean Observatory。地中海中微子天文台
NEO	全称：near-earth object; earth-approaching object。近地天体
NEOSSat	全称：Near-Earth Object Surveillance Satellite。近地天体监测卫星
NEP	全称：noise equivalent power。噪声等效功率
NES	全称：near-earth space。近地空间
NESTOR	全称：Neutrino Extended Submarine Telescope with Oceanographic Research project。涅斯托耳中微子望远镜
NFW profile	全称：Navarro-Frenk-White density profile。NFW密度轮廓
NGB	全称：Nambu-Goldstone boson。南部-戈德斯通玻色子
NGC	全称：New General Catalogue of Nebulae and Clusters of Stars。星云星团新总表
NGS	全称：National Geodetic Survey。美国测地局
NGT	全称：next generation telescope。下一代望远镜
NH	全称：northern hemisphere。北半球
NIR	全称：near-infrared; near-IR。近红外
NLC	全称：noctilucent cloud。夜光云
NLR	全称：narrow-line region。窄线区
NLRG	全称：narrow-line radio galaxy。窄线射电星系
NLTE	全称：non-local thermodynamic equilibrium。非局部热动平衡
NML Cygni	天鹅NML红外源
NML Tauri	金牛NML红外源
NML object	全称：Neugebauer-Martz-Leighton object。NML天体
NML source	全称：Neugebauer-Martz-Leighton source。NML红外源
NMR	全称：nuclear magnetic resonance。核磁共振
NNTB	全称：north north temperate belt。[木星]北北温带
NNTT	全称：National New Technology Telescope。美国新技术望远镜
NOAA	全称：National Oceanic and Atmospheric Administration。美国国家海洋和大气管理局
NOAO	全称：National Optical Astronomy Observatory。美国国家光学天文台
NOS	全称：National Oceanic Survey。美国海洋测量局
NOT	全称：Nordic Optical Telescope。北欧光学望远镜
NP	全称：NRAO pulsar。NRAO脉冲星
NPD	全称：north polar distance。北极距
NPOI	全称：Navy Precision Optical Interferometer。海军精确光学干涉仪
NPS	全称：north polar sequence。北极星序
NPZT	全称：Northern PZT program。北天PZT星纲要
NQR	全称：nuclear quadrupole resonance。核四极共振
NRAO	全称：National Radio Astronomy Observatory。美国国家射电天文台
NRAO VLA Sky Survey	缩写：NVSS。NVSS巡天
NRAO pulsar	缩写：NP。NRAO脉冲星
NRL	全称：Naval Research Laboratory。美国海军科研实验室
NRT	全称：Nancay radio telescope。南赛射电望远镜
NSF	全称：National Science Foundation。国家科学基金会
NSO	全称：National Solar Observatory。美国国家太阳观测台
NSSDC	全称：National Space Science Data Center。国家空间科学数据中心
NST	全称：New Solar Telescope。新太阳望远镜
NTB	全称：north temperate belt。木星北温带
NTE	全称：non-thermodynamic equilibrium。非热动平衡
NTS	全称：Navigation Technology Satellite。NTS系列卫星; 导航技术卫星
NTT	全称：New Technology Telescope。新技术望远镜
NVO	全称：National Virtual Observatory,United States。美国国家虚拟天文台
NVSS	全称：NRAO VLA Sky Survey。NVSS巡天
Na	全称：sodium。钠
NaI detector	全称：sodium-iodide detector。碘化钠探测器
Nagler eyepiece	纳格勒目镜
Naiad	海卫三
Nair al Zaurak	火鸟六
Nairc	耐尔思
Nakhla and Chassigny meteorite	缩写：SNC meteorite。SNC陨星
Nakhla meteorite	纳赫利赫陨星
Nakkar	七公增五
Nakshatra	月站
Namaka	妊卫二
Nambu-Goldstone boson	缩写：NGB。南部-戈德斯通玻色子
Nancay Radio Astronomy Facility	南赛射电天文观测站
Nancay radio telescope	缩写：NRT。南赛射电望远镜
Nanedi Valles	纳内迪谷
Nanjingdaxue	南京大学
Nanking	南京
Nano-JASMINE	全称：Nano-Japan Astrometry Satellite Mission for INfrared Exploration。纳茉莉天体测量卫星
Nano-Japan Astrometry Satellite Mission for INfrared Exploration	缩写：Nano-JASMINE。纳茉莉天体测量卫星
Nanrendong	南仁东
Nansen crater	1、南森环形山; 2、南森环形山
Nantong	南通
Nantou	南投
Nanyang	南阳
Naos	弧矢增二十二
Narrabri intensity interferometer	纳拉布赖强度干涉仪
Narvi	土卫三十一
Nashira	壁垒阵三
Nasmyth crater	内史密斯环形山
Nasmyth focus	内氏焦点
Nasmyth spectrograph	内氏焦点摄谱仪
Nasreddin Crater	纳斯尔丁坑
Nassau crater	纳索环形山
Nata	娜塔
Nath	玉井三
National Aeronautics and Space Administration	缩写：NASA。美国[国家]航天局
National Astronomical Observatories, Chinese Academy of Sciences	缩写：NAOC。中国科学院国家天文台
National Astronomical Observatory of Japan	缩写：NAOJ。日本国立天文台
National Astronomy and Ionosphere Center	缩写：NAIC。美国国家天文和电离层中心
National Bureau of Standards	缩写：NBS。美国国家标准局
National Geodetic Survey	缩写：NGS。美国测地局
National New Technology Telescope	缩写：NNTT。美国新技术望远镜
National Oceanic Survey	缩写：NOS。美国海洋测量局
National Oceanic and Atmospheric Administration	缩写：NOAA。美国国家海洋和大气管理局
National Optical Astronomy Observatory	缩写：NOAO。美国国家光学天文台
National Radio Astronomy Observatory	缩写：NRAO。美国国家射电天文台
National Science Foundation	缩写：NSF。国家科学基金会
National Solar Observatory	缩写：NSO。美国国家太阳观测台
National Space Science Data Center	缩写：NSSDC。国家空间科学数据中心
National Virtual Observatory,United States	缩写：NVO。美国国家虚拟天文台
Navagraha	九执历
Naval Research Laboratory	缩写：NRL。美国海军科研实验室
Navarro-Frenk-White density profile	缩写：NFW profile。NFW密度轮廓
Navi	阁道二
Navier-Stokes equation	纳维耶-斯托克斯方程
Navigation Technology Satellite	缩写：NTS。NTS系列卫星; 导航技术卫星
Navy Precision Optical Interferometer	缩写：NPOI。海军精确光学干涉仪
Nb	全称：niobium。铌
Nd	全称：neodymium。钕
Ne	全称：neon。氖
Neander crater	内安德环形山
Near Earth Asteroid Rendezvous	缩写：NEAR。近地小行星探测器
Near-Earth Asteroid Tracking	缩写：NEAT。近地小行星跟踪
Near-Earth Object Surveillance Satellite	缩写：NEOSSat。近地天体监测卫星
Nearch crater	奈阿尔科环形山
Nebra Disc	内布拉星象盘
Neck	亢宿
Necklace Nebula	项链星云
Nectarian System	酒海地层系统
Nectaris Basin	酒海盆地
Needham	李约瑟
Needle Galaxy	针状星系
Nei Monggol	内蒙古
Nekkar	七公增五
Nemausa	禽神星
Nembus	天大将军三
Nemesis	涅墨西斯
Nemo Crater	尼摩坑
Nengshun	能顺
Neptune	海王星
Neptune's ring	海王星环
Neptune's satellite	海卫
Neptune-Trojan asteroid	海王星-特洛伊族小行星
Neptunian ring	海王星环
Neptunian satellite	海卫
Nereid	海卫二
Nereidum Montes	奈瑞杜山脉
Nernst crater	能斯特环形山
Nernst theorem	能斯特定理
Neso	海卫十三
Nestor	内斯托
Net	毕宿
Network Nebula	天鹅圈
Neugebauer-Martz-Leighton object	缩写：NML object。NML天体
Neugebauer-Martz-Leighton source	缩写：NML source。NML红外源
Neumann band	诺伊曼条纹
Neumann function	诺伊曼函数
Neumann line	诺伊曼线
Neumayer crater	诺伊迈尔环形山
Neutrino Ettore Majorana Observatory	缩写：NEMO。马约拉纳中微子天文台
Neutrino Extended Submarine Telescope with Oceanographic Research project	缩写：NESTOR。涅斯托耳中微子望远镜
Neutrino Mediterranean Observatory	缩写：NEMO。地中海中微子天文台
New Astronomy	新天文学
New Astronomy Reviews	新天文学评论
New General Catalogue of Nebulae and Clusters of Stars	缩写：NGC。星云星团新总表
New Horizons	新视野号
New Horizons mission	新视野任务
New Solar Telescope	缩写：NST。新太阳望远镜
New Style	缩写：N.S.。新历
New Technology Telescope	缩写：NTT。新技术望远镜
Newcomb theory	纽康理论
Newcomb's fundamental constants	纽康基本常数
Newton crater	牛顿环形山
Newton-Raphson method	牛顿-拉弗森方法
Newtonian cosmology	牛顿宇宙学
Newtonian focus	牛顿焦点
Newtonian gauge	牛顿规范
Newtonian gravitation	牛顿引力
Newtonian limit	牛顿极限
Newtonian reflector	牛顿反射望远镜
Newtonian telescope	牛顿望远镜
Newtonian time	牛顿时
Newtonian-Cassegrain telescope	牛顿-卡塞格林望远镜
Ney-Allen nebula	奈伊-艾伦星云
Ngwaikin	吴伟坚
Ni	全称：nickel。镍
Niccoló Longobardo	龙华民
Nice Observatory	尼斯天文台
Nicholson Regio	尼科尔森地区
Nicol prism	尼科尔棱镜
Nicolas Joseph Raux	罗广祥
Niehaisheng	聂海胜
Nihal	厕二
Nikolaus Smogulecki	穆尼阁
Nimbus	雨云系列气象卫星
Ningbo	宁波
Ningxia	宁夏
Niobe	司石星
Nishina crater	仁科芳雄环形山
Nix	冥卫二
Niépce crater	尼埃普斯环形山
No	全称：nobelium。锘
Noachis Terra Crater	诺亚高地陨击坑
Nobel crater	诺贝尔环形山
