1/f 噪声	1/f noise
地球组成	composition of the earth
地球自转	earth rotation; rotation of the earth
地球自转参数	全称：earth rotation parameter。缩写：ERP
地球自转孔径综合	earth-rotation aperture synthesis
地球自转综合天线阵	earth-rotation synthesis array
地球自转角	全称：Earth Rotation Angle。缩写：ERA
地球自转速率	earth rate; earth rotation rate
地球质量行星	terrestrial-mass planet
地球轨道	earth orbit
地球轨道卫星	Earth-orbiting satellite
地球轨道天文台	Earth-orbiting observatory
地球轨道探测器	Earth-orbiting probe
地球辐射	terrestrial radiation
地球辐射带	radiation belt of the Earth
地球运行仪	loxocosm
地球进动	precession of the earth
地球速率单位	earth-rate unit
地理位置	geographic position
地理坐标	geographic coordinate
地理子午线	geographic meridian
地理星	Geographos
地理纬度	geographic latitude
地理经度	geographic longitude
地理赤道	geographic equator
地磁	terrestrial magnetism; geomagnetism
地磁倾角	geomagnetic inclination
地磁偏角	geomagnetic declination
地磁偶极子	geomagnetic dipole
地磁参数	geomagnetic parameter
地磁发电机理论	dynamo geomagnetics theory
地磁图	geomagnetic chart
地磁场	geomagnetic field
地磁坐标	geomagnetic coordinate
地磁壳层	geomagnetic shell
地磁尾	geomagnetic tail
地磁异常	geomagnetic anomaly
地磁微脉动	geomagnetic micropulsation
地磁截止纬度	geomagnetic cut-off latitude
地磁扰动	geomagnetic disturbance; terrestrial magnetic disturbance
地磁极	geomagnetic pole
地磁活动	geomagnetic activity
地磁潮	geomagnetic tide
地磁穴	geomagnetic cavity
地磁脉动	geomagnetic pulsation
地磁螺旋场	geomagnetic spiral field
地磁赤道	geomagnetic equator
地磁轴	geomagnetic axis
地磁边界	geomagnetic boundary
地网	counterpoise
地脚点	footpoint
地脚螺旋	foot screw
地表	terrence
地质代	geological era
地质力学	geomechanics
地质学	geology
地质年龄	geological age
地质时代	geological time
地质时标	geological time scale
地质计年	geological dating
地转性运动	geostrophic motion
地轴	earth axis
地震	earthquake; seism
地震仪	seismograph
地震区	seismic zone
地震天文	seismo-astronomy
地震学	seismology
地震带	seismic belt
地震波	seismic wave
地震活动	seismicity
地震物理	seismophysics
地震示波仪	seismoscope
地震纵波	全称：primary wave。缩写：P wave
地震计	seismometer
地震面波	seismic surface wave
地面吸收	ground absorption
地面天文学	ground-based astronomy
地面子午线	terrestrial meridian
地面宇宙线增强	全称：ground cosmic rays enhancement。缩写：GCE
地面定时系统	ground timing system
地面层自适应光学	全称：ground-layer adaptive optics。缩写：GLAO
地面屏蔽	ground screen
地面站	ground station
地面粒子事件	全称：ground level event。缩写：GLE
地面纬圈	terrestrial parallel
地面纬度	terrestrial latitude
地面经度	terrestrial longitude
地面辐射	ground radiation
场[透]镜	field lens
场中心	field center
场反转	field reversal
场强	field intensity; field strength
场强突异	全称：sudden field anomaly。缩写：SFA
场强计	field strengthmeter
场改正镜	field corrector
场效应	field effect
场方向图	field pattern
场方程	field equation
场星	field star; general field star
场星云	field nebula
场星系	field galaxy
场星系光度函数	field galaxy luminosity function
场曲	field curvature; curvature of field
场止	field stop
场畸变	field distortion
场脉冲星	field pulsar
场致光学	field optics
场贯联弧	field transition arch
场镜系统	field optics
坂田模型	Sakata model
均分	equipartition
均分参数	equipartition parameter
均分时间	equipartition time
均力圆锥轮	fusee; fuzee
均匀介质	homogeneous medium
均匀分布	uniform distribution
均匀化	uniformization
均匀场	homogeneous field
均匀大气	homogeneous atmosphere
均匀太阳时	uniform solar time
均匀宇宙	homogeneous universe
均匀性	homogeneity
均匀性问题	homogeneity problem
均匀恒星时	uniform sidereal time
均匀感应	uniform induction
均匀时间	uniform time
均匀星	homogeneous star
均匀球	homogeneous sphere
均匀辐射	homogeneous radiation
均匀速度	uniform velocity
均方	mean square
均方值	mean square value
均方偏差	mean square deviation
均方密度涨落	mean square density fluctuation
均方差	全称：root mean square deviation。缩写：rms deviation
均方根	全称：root mean square。缩写：rms
均方根值	全称：root mean square value。缩写：rms value
均方根速度	全称：root mean square velocity。缩写：rms velocity
均方误差	mean square error
均时差	equation of equipartition time
均衡	isostasy
均衡法	equantequation
均衡点	equantequation
均衡说	theory of isostasy
均轮	deferent
坍缩	collapse
坍缩不稳定性	collapsing instability
坍缩云	collapsing cloud
坍缩天体	collapsed object
坍缩时间	collapse time
坍缩星	1、collapsar; 2、collapsed star; collapsing star
坍缩模拟	collapse simulation
坍缩比例	collapse fraction
坎农环形山	Cannon crater
坎尼扎罗环形山	Cannizzaro crater
坎贝尔环形山	Campbell crater
坏像元	bad pixel
坐标变换	conversion of coordinates; coordinate transformation; transformation of coordinates
坐标基	coordinate basis
坐标摄动	coordinate perturbation
坐标方向	coordinate direction
坐标时	coordinate time
坐标架	frame of axes
坐标系	coordinate system; system of coordinate
坐标轴	axis of coordinate; coordinate axis
坐标量度仪	coordinate measuring instrument
坚忍环形山	Endurance crater
坟墓二	Sadachbia; Sadalachbia
坠落时间	death date
坡印廷-罗伯逊效应	Poynting-Robertson effect
坡印廷环形山	Poynting crater
坡顶暴胀	hilltop inflation
坤神星	Dione
坦普尔-塔特尔彗星	Tempel-Tuttle comet
坦普尔1号彗星	Tempel's 1 comet
坦普尔彗星	Tempel's comet
坪值	plateau value
垂射天线阵	broadside array
垂直分布	vertical distribution
垂直分量	perpendicular component
垂直圈	vertical circle; azimuth circle
垂直消隐间隔	vertical blanking interval
垂直碰撞	perpendicular collision
垂直轴	azimuth axis
垂直频率	vertical frequency
垂线	1、perpendicular; 2、vertical line
垂线偏差	deviation of the vertical; plumb-line deviation; deflection of vertical
垂线角	angle of the vertical
垂迹分量	cross-track component
垂迹误差	cross-track error
垒壁阵四	Deneb Algedi; Deneb Algiedi
埃	全称：angstrom。缩写：Å
埃伯哈德效应	Eberhard effect
埃克曼层	Ekman layer
埃农-海利斯模型	Henon-Helies model
埃利奥特环形山	Elliot crater
埃勒曼炸弹	Ellerman bomb
埃及历	Egyptian calendar
埃及古代天文学	Egyptian ancient astronomy
埃及古历夏季	shemu
埃因托芬环形山	Einthoven crater
埃多克斯球	sphere of Edoxus
埃奇沃斯-柯伊伯带	Edgeworth-Kuiper Belt
埃姆登环形山	Emden crater
埃尔米特环形山	Hermite crater
埃尔维环形山	Elvey crater
埃弗谢德效应	Evershed effect
埃弗谢德环形山	Evershed crater
埃律西昂平原	Elysium Planitia
埃德里文深坑	Adlivun Cavus
埃文斯环形山	Evans crater
埃斯诺-佩尔蒂埃环形山	Esnault-Pelterie crater
埃涅阿斯环形山	Aeneas crater
埃纳斯托轮廓	Einasto profile
埃罗环形山	Erro crater
埃菲尔斯伯格望远镜	Effelsberg Telescope; Effelsberg Radio Telescope
埃西莉亚	Hersilia
埋入沟道型CCD	buried-channel CCD
培根环形山	Baco crater
培正	Puiching
基	radical
基准	primary standard
基准星	proper star
基准标	fiducial mark
基准点	1、fiducial point; 2、normal point
基准面	datum level; datum
基勒环形山	Keeler crater
基勒环缝	Keeler Gap
基南	Ginan
基变换	basis transformation
基向	cardinal direction
基域	base field
基奥普斯系外行星表征卫星	全称：CHaracterizing ExOPlanet Satellite。缩写：CHEOPS
基尔大学射电天文台	Kiel University Radio Observatory
基尔霍夫定律	Kirchhoff law; Kirchhoff's law
基巴利契奇环形山	Kibal'chich crater
基布尔机制	Kibble mechanism
基带	baseband
基底星系	underlying galaxy
基座陨击坑	pedestal crater
基态	ground state
基斯环形山	Kiess crater
基本函数	fundamental function
基本分量	fundamental component
基本力	fundamental force
基本单位	fundamental unit
基本参考架	fundamental reference frame
基本参考系	fundamental reference system
基本圆	primary circle
基本圈	fundamental circle; reference circle
基本坐标系	fundamental coordinate system
基本天体测量学	fundamental astrometry
基本天文学	fundamental astronomy
基本天文常数	fundamental astronomical constant
基本常数	fundamental constant
基本弦	fundamental string
基本星	fundamental star
基本星表	1、全称：Fundamental Catalogue。缩写：FK; 2、全称：Fundamental Katalog。缩写：FK
基本星视位置表	全称：Apparent Places of Fundamental Stars。缩写：APFS
基本模	1、f-mode; 2、fundamental mode
基本粒子	1、elementary particle; 2、fundamental particle
基本系统	fundamental system
基本观测者	fundamental observer
基林矢量	Killing vector
基歇尔环形山	Kircher crater
基波	fundamental harmonic; fundamental wave
基波对	fundamental-harmonic pair
基流量	basal flux
基点	cardinal point
基特峰国家天文台	全称：Kitt Peak National Observatory。缩写：KPNO
基矢	basis vector
基矢量	basis vector
基礅	pillar
基级	ground level
基线	baseline
基线弯曲	baseline curvature
基线拟合	baseline fitting
基线波纹	baseline ripple
基线矢量	baseline vector
基线系	fundamental series
基线自举法	baseline bootstrapping
基辅大学天文台	Kiev University Observatory
基面	fundamental plane
基频	fundamental frequency
基频离子回旋波	first ion cyclotron wave
堆积区	pile-up region
堆积区边界	pile-up boundary
堆积效应	pile-up effect
堑沟	fossa
堪德深谷	Candor Chasma
塑料闪烁体	plastic scintillator
塔什库尔干	Tashikuergan
塔利-费希尔关系	Tully-Fisher relation
塔利-费希尔方法	Tully-Fisher method
塔吉什湖陨石	Tagish Lake meteorite
塔尔西斯突出部	Tharsis Bulge
塔库巴亚国立天文台	Tacubaya National Observatory
塔式望远镜	tower telescope
塔耳塔洛斯山脊	Tartarus Dorsa
塞奇分类	Secchi classification
塞奇山脉	Montes Secchi
塞曼-多普勒成像法	Zeeman-Doppler imaging
塞曼分裂	Zeeman splitting
塞曼子线	Zeeman component
塞曼态	Zeeman state
塞曼效应	Zeeman effect
塞曼环形山	Zeeman crater
塞曼谱图	Zeeman spectrogram
塞洛夫接收机	Selove receiver
塞西克指数	Sersic index
塞西克轮廓	Sersic profile
填充因子	filling factor
墙仪	mural circle
墙象限仪	mural quadrant
增亮	brightening
增大	augmentation
增容甚大阵	全称：Expanded Very Large Array。缩写：EVLA
增强CCD	intensified CCD
增强发射	enhanced emission
增强器	intensifier
增强网络	enhanced network
增强谱线	enhanced line
增强辐射	enhanced radiation
增焦镜	tele-extender
增益	gain
增益因子	gain factor
增益误差	gain error
增益调制	gain modulation
增质量天体	mass-gaining object
增质量星	mass-gaining star
增量	increment
增长函数	growth function
增长因子	growth factor
增长波	increasing wave
墨丘利环形山	Mercurius crater
墨东天文台	Meudon Observatory
墨卡托峭壁	Rupes Mercator
墨卡托环形山	Mercator crater
墨西哥天文学与天体物理学杂志	Revista Mexicana De Astronomia Y Astrofisica
墨西哥帽势	Mexican hat potential
壁垒阵三	Nashira
壁垒陨击坑	rampart crater
壁宿	Wall
壁宿一	Algenib
壁宿二	Alpheratz; Sirrah
壁碰撞	wall collision
壁移	wall shift
壁镀膜	wall coating
声光像处理机	acousto-optic image processor
声光调制器	acousto-optic light modulator
声光频谱仪	全称：acousto-optic spectrograph。缩写：AOS
声半径	sonic radius
声吸收	sound absorption
声子	phonon
声学峰	acoustic peak
声学振荡	acoustic oscillation
声学损失	acoustic loss
声学视界	acoustic horizon
声模	acoustic mode
声波	acoustic wave; sound wave
声波致热	acoustic wave heating
声波视界	sound horizon
声表面	sonic surface
声速	acoustic velocity; sound velocity; speed of sound
声频	audiofrequency
壳层	lamella
壳层交叉	shell crossing
壳层燃烧	shell burning
壳层穿越	shell crossing
壳层结构	shell structure
壳源	shell source
壳源模型	shell-source model
壳状星系	shell galaxy
壳状超新星遗迹	shell supernova remnant
壳状遗迹	shell remnant
处暑	End of Heat; Limit of Heat
备择宇宙学	alternative cosmology; non-standard cosmology
备择引力理论	alternative gravity model; alternative theory of gravity
复位	reset
复光栅	multiple grating
复制光栅	replica of grating
复制性	reproducibility
复原图	restored map
复原图像	restored image
复原技术	restoration technique
复可见度函数	complex visibility function
复合	recombination
复合体	complex
复合光谱	composite spectrum
复合后宇宙	post-recombination Universe
复合图法	composite diagram method
复合干涉仪	compound interferometer
复合平场镜	compound field-flattener
复合底片	plate complexes
复合时期	recombination era
复合时间	recombination time
复合期	recombination epoch
复合栅天线	compound-grating antenna
复合模型	composite model
复合源	complex source
复合目镜	compound eyepiece
复合系数	recombination coefficient
复合线	recombination line
复合线发射	recombination line emission
复合谱	recombination spectrum
复合辐射	recombination radiation
复合连续区	recombination continuum
复合透镜	compound lens
复圆	last contact of umbra; last contact; fourth contact
复奇点	complex singularity
复弧法	multiple-arc method
复摆	compound pendulum; physical pendulum
复杂群	complex group
复条纹幅度	complex fringe amplitude
复活节历表	Paschal table
复消色差	apochromatism
复消色差折射望远镜	apochromatic refractor
复消色差物镜	apochromatic objective
复消色差透镜	apochromat; apochromatic lens
复源法	source restoration
复现	emersion
复现性	reproducibility
复现扰动	recurrent disturbance
复现时刻	emersion time
复现暴	recurrent burst
复现爆发	recurrent eruption; recurrent explosion; recurrent outburst
复谱双星	composite-spectrum binary
夏	summer
夏令子午线	daylight saving meridian
夏令时	全称：daylight saving time; summer time。缩写：DST
夏令正午	daylight saving noon
夏俊超	Xiajunchao
夏夜大三角	Summer Triangle
夏威夷纳弧度天文光学阵	全称：Optical Hawaiian Array for Nanoradian Astronomy。缩写：OHANA
夏普溪	Rima Sharp
夏洛瓦陨星坑	Charlevoix crater
夏湖	Lacus Aestatis
夏至	June Solstice; Summer Solstice
夏至日	day of summer solstice
夏至点	summer solstice; June solstice; first point of Cancer
夕没	heliacal setting; acronical setting; acronychal setting
夕神星	Hesperia
外[逸]层	exosphere
外侧晕弧	infralateral arc
外共振	external resonance
外冕	outer corona
外切	exterior contact
外初切	exterior ingress
外力	exogenic force; external force
外加力	applied force
外压力约束	external pressure confinement
外向分子流	molecular outflow
外因变星	extrinsic variable
外围层	perisphere
外围隙	outer gap
外在曲率	extrinsic curvature
外场	external field
外壳电子	outer-shell electron
外大气层	exosphere
外大气层底	exobase
外太阳系	outer solar system
外小行星带	outer asteroid belt
外尔张量	Weyl tensor
外尔环形山	Weyl crater
外尔统一场论	Weyl unified field theory
外层大气	outer atmosphere
外层空间	outer space
外屏七	Alrescha; Kaitain; Okda
外屏三	Revati
外差式光学干涉仪	heterodyne optical interferometer
外差式接收机	heterodyne receiver
外差式红外干涉仪	heterodyne infrared interferometer
外差式频谱仪	heterodyne spectrometer
外差振荡器	heterodyne oscillator
外差检测器	heterodyne detector
外带小行星	outer-belt asteroid
外引力势	external potential
外拉格朗日点	outer Lagrangian point
外接日晕	circumscribed halo
外星人	alien creation
外星彗星	exocomet; exotic comet
外星黄道尘	exozodiacal dust
外晕	outer halo
外晕族星团	outer halo cluster
外林德布拉德共振	outer Lindblad resonance
外林德布拉德半径	outer Lindblad radius
外核	outer core
外源说	external source hypothesis
外激波	external shock
外环	outer ring
外积	wedge product; outer product
外空生物学	xenobiology
外缘旋臂	Outer Arm
外行星	superior planet
外遮星冕仪	external occultor coronagraph
外遮星器	external occultor
外部权	external weight
外部色散干涉仪	externally dispersed interferometer
多丝正比计数器	multiwire proportional counter
多任务模块化空间飞行器	全称：multimission modular spacecraft。缩写：MMS
多体问题	many-body problem; multiple-body problem; problem of many bodies
多佩尔迈尔溪	Rimae Doppelmayer
多佩尔迈尔环形山	Doppelmayer crater
多元光谱探测仪	全称：Multi Unit Spectroscopic Explorer。缩写：MUSE
多元干涉仪	multiple interferometer
多元干涉测量	multiple interferometry
多光纤分光	multifibre spectroscopy
多光纤分光仪	multifibre spectrometer
多反射面天线	multi-reflecting antenna
多变量分布	multivariate distribution
多向射束	multidirectional beam
多场暴胀	multifield inflation
多基数指数	multiradix index
多天体分光	multi-object spectroscopy
多天体摄谱仪	multi-object spectrograph
多天线射电望远镜	multi-antenna radio telescope; multi-element radio telescope
多天线干涉仪	multi-element interferometer
多天线干涉测量	multi-element interferometry
多天线阵	multi-antenna array; multi-element array
多尔-柯卡姆望远镜	Dall-Kirkham telescope
多尔富斯偏振计	Dollfus polarimeter
多层桁架	multibay truss
多层膜X射线望远镜	multilayer X-ray telescope
多层膜镜	multilayer mirror
多层镀膜	multilayer coating
多布森反射望远镜	Dobsonian reflector
多布森望远镜	Dobsonian telescope
多布森望远镜支架	Dobsonian telescope mount
多布森装置	Dobsonian mounting
多方平衡	polytropic equilibrium
多方指数	polytropic index
多方模型	polytropic model
多方气体	polytropic gas
多方气体球	polytropic gas sphere
多方状态方程	polytropic equation of state
多方球	polytrope
多方球心	polytropic core
多普勒-菲佐效应	Doppler-Fizeau effect
多普勒位移	Doppler displacement
多普勒关系	Doppler relation
多普勒参数	Doppler parameter
多普勒图	Dopplergram
多普勒地极监测服务	全称：Doppler Polar Monitoring Service。缩写：DPMS
多普勒定位	Doppler positioning; Doppler translocation
多普勒宽度	Doppler width
多普勒峰	Doppler peak
多普勒接收机	Doppler receiver
多普勒提升因子	Doppler boosting factor
多普勒效应	Doppler effect
多普勒方程	Doppler equation
多普勒测绘	Doppler mapping
多普勒测距	Doppler ranging
多普勒环形山	Doppler crater
多普勒线核	Doppler core
多普勒自记比较仪	recording Doppler comparator
多普勒致宽	Doppler broadening
多普勒观测地球运动计划	全称：Motion of the Earth by Doppler Observation Campaign。缩写：MEDOC
多普勒计数	Doppler counting
多普勒资料	Doppler data
多普勒轮廓	Doppler contour; Doppler profile
多普勒运动	Doppler motion
多普勒频散	Doppler spread
多普勒频移	Doppler shift
多普勒频移测量	Doppler-shift measurement
多望远镜射电联合干涉仪	全称：Multi-Telescope Radio-Linked Interferometer。缩写：MTRLI
多极	multipole
多极分量	multipole component
多极发射	multipole emission
多极展开	multipole expansion
多极矩	multipole moments
多极系数	multipole coefficients
多极辐射	multipolar radiation; multipole radiation
多极项	multipole term
多模喇叭	multimode horn
多次散射	multiple scattering
多气球同步极光观测	全称：simultaneous auroral multi-balloon observation。缩写：SAMBO
多波-粒子相互作用	multiwave-particle interaction
多波反应	fusion of wave
多波束	multiple beam
多波束接收机	multibeam receiver
多波段	multi-band
多波段光度计	multiband photometer
多波段天体物理	multiwavelength astrophysics
多波段天文学	multiwavelength astronomy
多波段巡天	multiwavelength survey; multiwavelength sky survey
多波段数字化巡天	multiwavelength digital sky survey
多波段测光	multiband photometry
多波段色指数	multiband color-index
多波相互作用	multiwave interaction
多环芳烃	全称：polycyclic aromatic hydrocarbon。缩写：PAH
多目标自适应光学	全称：multi-object adaptive optics。缩写：MOAO
多相干涉仪	multi-phase interferometer
多相干涉测量	multi-phase interferometry
多相星系际介质	multiphase IGM
多相钉扎型CCD	全称：multi-pinned phase CCD。缩写：MPP CCD
多筒望远镜	spar
多粒子系统	many-particle system
多级火箭	multi-stage rocket; rocket train; step rocket
多纳提彗星	Donati's comet
多纳蒂彗星	Comet Donati
多线计数器	multi-wire counter
多组元波谱	multicomponent spectrum
多维球	hypersphere
多维空间	hyperspace; multidimensional space
多缝掩模	multi-slit mask
多缝摄谱仪	multi-slit spectrograph
多色光度计	multicolor photometer
多色器	polychromator
多色测光	multicolor photometry
多莫伏伊环形山	Domovoy crater
多萝茜坑	Dorothy Crater
多谱	polyspectrum
多谱扫描仪	全称：multi-spectral scanner。缩写：MSS
多通道	multi-channel
多通道光度计	multichannel photometer
多通道分光仪	multichannel spectrometer
多通道天测光度计	全称：multichannel astrometric photometer。缩写：MAP
多通道太阳望远镜	multichannel solar telescope
多通道接收器	multichannel receiver
多通道日冕仪	multichannel coronagraph; multichannel coronograph
多通道日冕分光仪	multichannel coronal spectrometer
多通道检测器	multichannel detector
多通道测光	multichannel photometry
多通道滤波型频谱仪	multichannel filter spectrometer
多通道磁像仪	multichannel magnetograph
多重共轭自适应光学	全称：multi-congugate adaptive optics。缩写：MCAO
多重反射	multi-reflection
多重反射器	multi-reflector
多重反射镜	multi-reflector
多重周期	multi-period
多重周期变星	multi-periodic variable
多重子线	multiplet component
多重宇宙	multiverse
多重射电源	multiple radio source; radio multi-source
多重度函数	multiplicity function
多重彗尾	multiple tail
多重性	multiplicity
多重星系	multiple galaxy; multiple system
多重流星	multiple meteor
多重类星体	multiple quasars
多重红移	multiple redshift
多重线	multiplet
多重结构	multiplet structure
多重群	polyad
多重飞掠	multiple fly-bys
多镜面X射线空间望远镜	全称：X-ray Multi-Mirror Mission。缩写：XMM-Newton
多镜面望远镜	multi-mirror telescope; multiple mirror telescope
多阳极微通道阵	全称：multi-anode microchannel array。缩写：MAMA
多项式暴胀	polynomial inflation
夜光云	全称：noctilucent cloud。缩写：NLC
夜光余迹	noctilucent train
夜天	night sky
夜天亮度	night brightness; night sky brightness
夜天光	night glow; night sky light; light of the night sky
夜天光发射	night glow emission
夜天光度	luminosity of night sky
夜天光谱	night sky spectrum
夜天背景	night sky background
夜天辐射	night sky radiation
夜天透明度	night transparency
夜弧	night arc
夜晷	night dial
夜枭星云	Owl Nebula
夜枭星团	Owl Cluster
夜视	night vision
夜间值	night value
夜间定时仪	nocturnal
夜间观测助理	night assistant
夜间视宁度	night-time seeing
大众天文学	popular astronomy
大偏心轨道卫星	全称：highly eccentric orbit satellite。缩写：HEOS
大冲	favorable opposition
大冷斑	Great Cold Spot
大力神星	Herculina
大卫·邓拉普天文台	全称：David Dunlap Observatory。缩写：DDO
大反冲	big bounce
大口径全天巡视望远镜	全称：Large Synoptic Survey Telescope。缩写：LSST
大口径液[态]镜[面]阵	全称：Large Liquid-Aperture Mirror Array。缩写：LAMA
大圆	great circle; orthodrome
大圈星云	Great Looped Nebula
大地势	geopotential
大地参考系	Geodetic Reference System
大地坐标	geodetic coordinate
大地基准点	geodetic datum
大地天文学	geodetic astronomy
大地天顶	geodetic zenith
大地定位三角形	geodetic triangle
大地常数	geodetic constant
大地接收机	geoceiver
大地方位角	geodetic azimuth
大地曲率圈	circle of geodesic curvature
大地构造学	geotectonics; tectonics
大地水准面	1、geoid; 2、geoid surface
大地水准面地平面	geoidal horizon
大地水准面高度	geoidal height
大地测量基线	geodetic base line
大地测量学	geodesy; geodetic surveying
大地纬度	geodetic latitude
大地经度	geodetic longitude
大型双筒望远镜干涉仪	全称：Large Binocular Telescope Interferometer。缩写：LBTI
大型地基太阳望远镜	全称：Large Earth-based Solar Telescope。缩写：LEST
大型地平装置望远镜	全称：Large Altazimuth Telescope。缩写：BTA
大型大气伽马射线成像切伦科夫望远镜	全称：Major Atmospheric Gamma-ray Imaging Cherenkov Telescopes。缩写：MAGIC
大型天顶望远镜	全称：Large Zenith Telescope。缩写：LZT
大型强子对撞机	全称：Large Hadron Collider。缩写：LHC
大型望远镜	large telescope
大型正负电子对撞机	全称：Large Electron Positron Collider。缩写：LEP
大型米波射电望远镜	全称：Giant Metrewave Radio Telescope。缩写：GMRT
大埔	Dabu
大天区面积多目标光纤光谱天文望远镜	全称：Large Sky Area Multi-Object Fiber Spectroscopic Telescope; Guo Shoujing Telescope。缩写：LAMOST
大学天文研究联合组织	全称：Association of Universities for Research in Astronomy。缩写：AURA
大宇宙	macrocosmos
大寒	Greater Cold; Severe Cold
大尺度喷流	large scale jet
大尺度天图	large scale sky map
大尺度射束	large scale beam
大尺度巨洞	galactic void
大尺度成团性	large-scale clustering
大尺度湍动	large scale turbulence
大尺度特征	large scale characteristic
大尺度结构	全称：large scale structure。缩写：LSS
大尺度速度场	large scale velocity field
大年	great year
大序	Great sequence
大挤压	big crunch
大撕裂	big rip
大数假说	large number hypothesis
大数定律	law of large numbers
大暑	Greater Heat
大暗斑	全称：Great Dark Spot。缩写：GDS
大暗隙	Great Rift
大梁 	全称：Taurus。缩写：Tau
大气	atmosphere
大气γ射线次级流量	secondary flux of atomspheric γ-rays
大气光学	atmospheric optics
大气切伦科夫望远镜	atmospheric Cherenkov telescope
大气制动	aerobraking
大气压	atmospheric pressure
大气参量	atmospheric parameter
大气号	Aura
大气吸收	atmospheric absorption
大气噪声	atmospheric noise
大气密度	atmospheric density
大气层	aerosphere; atmospheric layer
大气成分	atmospheric composition
大气扰动	atmospheric perturbation
大气抖动	atmospheric agitation
大气折射	astronomical refraction; atmospheric refraction
大气折射改正器	atmospheric refraction corrector
大气改正	atmospheric correction
大气效应	atmospheric effect
大气散射	atmospheric scattering
大气模型	atmospheric model
大气波长	air wavelength
大气浓度	atmospheric concentration
大气消光	atmospheric extinction
大气深度	atmospheric depth
大气湍流	atmospheric turbulence
大气潮	atmospheric tide
大气电学	atmospheric electricity
大气相关时间	atmospheric correlation time
大气相关长度	atmospheric correlation length
大气窗	atmospheric window
大气簇射	air shower
大气色散	atmospheric dispersion
大气色散补偿器	atmospheric dispersion compensator
大气荧光	atmospheric fluorescence
大气荧光式宇宙线探测器	air fluorescence cosmic ray detector
大气衰减	atmospheric attenuation
大气视宁度	atmospheric seeing
大气谱带	telluric band
大气谱线	telluric line; atmospheric line
大气谱线混杂	telluric contamination
大气负载	atmospheric loading
大气质量	air mass
大气质量密度	atmospheric mass density
大气起伏	atmospheric fluctuation
大气路径	air path
大气辉光	airglow
大气辐射	atmospheric radiation
大气进入轨道	atmospheric entry trajectory
大气透射	atmospheric transmission
大气透明度	atmospheric transparency
大气闪烁	atmospheric scintillation
大气阻力	atmospheric drag; air drag
大气食	atmospheric eclipse
大溅撞	big splash
大潮	high water; spring tide
大火	1、Antares; Cor Scorpii; 2、全称：Scorpius。缩写：Sco
大熊SU型星	SU UMa star
大熊UX型星	UX UMa star
大熊W型双星	W UMa binary
大熊W型星	W UMa star
大熊座	全称：Ursa Major。缩写：UMa
大熊星团	全称：Ursa Major cluster。缩写：UMa cluster
大熊星系群	全称：Ursa Major group。缩写：UMa group
大熊星群	全称：Ursa Major group。缩写：UMa group
大熊湖太阳观测台	Big Bear Solar Observatory
大熊矮星系Ⅰ	全称：Ursa Major Ⅰ dwarf。缩写：UMa Ⅰ
大熊矮星系Ⅱ	全称：Ursa Major Ⅱ dwarf。缩写：UMa Ⅱ
大熊移动星团	Ursa Major Moving Cluster
大爆炸奇点	Big Bang singularity
大爆炸宇宙论	Big Bang cosmology
大爆炸年代学	Big Bang chronology
大爆炸核合成	全称：Big Bang nucleosynthesis。缩写：BBN
大爆炸模型	Big Bang model
大爆炸理论	Big Bang theory
大爆炸遗迹	relics of the Big Bang
大犬 R 型星	R Canis Majoris star
大犬R型双星	R CMa binary
大犬R型变星	R CMa variable
大犬R型星	R CMa star
大犬β型星	全称：β Canis Majoris star。缩写：β CMa star
大犬座	全称：Canis Major。缩写：CMa
大犬矮星系	Canis Major Dwarf Galaxy
大白斑	全称：Great White Spot。缩写：GWS
大碰撞假说	giant impact hypothesis
大红斑	1、Red Spot; 2、全称：Great Red Spot。缩写：GRS
大红斑穴	Red Spot hollow
大统一理论	全称：grand unified theory。缩写：GUT
大耀斑	major flare; big flare
大自行星	proper motion star
大行星	principal planet; major planet
大西洋中脊	mid-Atlantic ridge
大西洋标准时间	全称：Atlantic Standard Time。缩写：AST
大视场多色巡天	Large Field Multi-Color Sky Survey
大视场底片	wide-angle plate
大视场成像	wide-field imaging
大视场成像器	全称：wide field imager。缩写：WFI
大视场摄谱仪	wide-field spectrograph
大视场望远镜	wide-field telescope
大视场红外巡天望远镜	全称：Wide-Field Infrared Survey Telescope。缩写：WFIRST
大视场红外探测器	全称：Wide-Field Infrared Explorer。缩写：WIRE
大角	Arcturus
大角度各向异性	large-angle anisotropy
大角径源	large diameter source
大角星群	Arcturus group
大质量X射线双星	1、全称：high-mass X-ray binary。缩写：HMXB; 2、全称：massive X-ray binary。缩写：MXRB
大质量双星	high-mass binary
大质量天体	massive object
大质量星	massive star; high-mass star
大质量星系	massive galaxy
大质量晕	massive halo
大质量行星	high-mass planet
大质量黑洞	massive black hole
大距	全称：greatest elongation; elongation。缩写：GE
大连	Dalian
大陆块	continental block
大陆漂移	continental drift; continental movement
大陆漂移说	theory of continental drift
大限	major limit
大陵五	Algol
大陵佯谬	Algol paradox
大陵六	Gorgonea Tertia
大陵四	Misam
大陵型双星	Algol-type binary; Algol binary; Algol system
大陵型变星	Algol-type variable; Algol variable
大陵型星	Algols; Algol star
大陵型食变星	Algol-type eclipsing variable
大陵增十八	Gorgonea Quarta
大隅号	Ohsumi; Osumi
大雪	Greater Snow; Heavy Snow
