1/f 噪声	1/f noise
DEPFET像元传感器	全称：depleted p-channel field effect transistor pixel sensor。缩写：DEPFET pixel sensor
DGP引力	全称：Dvali-Gabadadz-Porrati gravity。缩写：DGP gravity
DO型白矮星	DO white dwarf
DQ型白矮星	DQ white dwarf
DZ型白矮星	DZ white dwarf
D区	D-region
D型小行星	1、D-class asteroid; 2、D-type asteroid
D层	D layer
D星系	D galaxy
D线	D line
E 型小行星	E-class asteroid
E 谱线	E line
E+A星系	E+A galaxy
EGRET 星表	EGRET catalog
EPOXI任务	全称：Extrasolar Planet Observation and Deep Impact Extended Investigation 。缩写：EPOXI
ESO/SERC南天天图	ESO/SERC Southern Sky Survey
ESSENCE超新星巡天	ESSENCE supernova survey
EXOSAT欧洲X射线天文卫星	全称：European X-ray Observatory Satellite。缩写：EXOSAT
Ep星系	Ep galaxy
E冕	E corona
E区	E region
E型小行星	E-type asteroid
E层	E layer
E成分	E component
E模式偏振	E mode polarization
F 型特殊星	Fp star
F 谱带	F band
FIRST星表	全称：Faint Images of the Radio Sky at Twenty-Centimeters catalogue。缩写：FIRST
FIRST空间望远镜	全称：Far-Infrared and Submillimeter Space Telescope。缩写：FIRST
FK3星表	全称：Dritter Fundamental Katalog。缩写：FK3
FK4星表	全称：Vierter Fundamental Katalog。缩写：FK4
FK5星表	全称：Fuenfter Fundamental Katalog。缩写：FK5
FK星表	1、全称：Fundamental Catalogue。缩写：FK; 2、全称：Fundamental Katalog。缩写：FK
FK星表系统	FK catalogue system
FLA射电阵	全称：Florida Large Array。缩写：FLA
FLRW模型	全称：Friedmann-Lemaitre-Robertson-Walker model。缩写：FLRW model
FRW模型	全称：Friedmann-Robertson-Walker model。缩写：FRW model
FRⅠ型射电星系	Fanaroff-Riley type Ⅰ
FRⅡ型射电星系	Fanaroff-Riley type Ⅱ
FX 相关器	FX correlator
Fm 型星	Fm star
F冕	F corona
F区	F region
F型亚巨星	F subgiant
F型亚矮星	F subdwarf
F型小行星	1、F-class asteroid; 2、F-type asteroid
F型巨星	F giant
F型星	F star; F-type star
F型矮星	F dwarf
F型超巨星	F supergiant
F层	F layer
F成分	F component
